"word","description","progress"
"曇り","cloudiness, cloudy weather, shadow","Beginner"
"風呂","bath, bathtub","Beginner"
"洗濯","washing, laundry","Beginner"
"上手","skill, skillful, dexterity","Beginner"
"どのくらい","how long, how far, how much","Beginner"
"もう","now, soon, shortly, before long, presently, already, yet, by now, not anymore, further, more, again, another, the other, exclamation of frustration","Beginner"
"散歩","walk, stroll","Beginner"
"まだ","as yet, hitherto, only, still","Beginner"
"痛い","painful, sore","Beginner"
"切符","ticket","Beginner"
"消す","to erase, to delete, to cross out","Beginner"
"答える","to answer, to reply","Beginner"
"狭い","narrow, confined, small","Beginner"
"来年","next year","Beginner"
"いいえ","no, nay","Beginner"
"去年","last year","Beginner"
"いただきます","thank you (for the meal just served), I receive (this meal)","Beginner"
"まで","until (a time), till, to, up to","Beginner"
"来月","next month","Beginner"
"ダイエット","diet","Beginner"
"上手い","skillful, skilful, clever, expert, wise, successful","Beginner"
"呼ぶ","to call out (to), to call, to invoke","Adept"
"売る","to sell","Adept"
"渡る","to cross over, to go across","Adept"
"どれ","which (of three or more), let me see, let's see","Adept"
"どの","which, what (way)","Adept"
"なる","to become, to get, to grow, to turn, to reach, to attain","Adept"
"ゆっくり","slowly, unhurriedly, without haste, leisurely, at one's leisure","Adept"
"涼しい","cool, refreshing","Adept"
"会議","meeting, conference, session, assembly, council, convention, congress","Adept"
"一緒に","together (with), at the same time, in a lump","Adept"
"借りる","to borrow, to have a loan","Adept"
"作る","to make, to produce, to manufacture, to build, to construct","Adept"
"行き","the way there, outbound leg, outbound trip, departing leg","Adept"
"賑やか","bustling, busy, lively","Adept"
"捨てる","to throw away, to cast away, to dump, to discard","Adept"
"住む","to live (of humans), to reside, to inhabit, to dwell, to abide","Adept"
"泣く","to cry, to weep, to sob, to howl","Adept"
"入る","to enter, to go into","Adept"
"料理","cooking, cookery, cuisine","Adept"
"どうして","why?, for what reason, how, in what way, for what purpose, what for","Adept"
"お風呂に入る","to take a bath, to have a bath","Adept"
"お皿","plate, dish","Adept"
"習う","to take lessons in, to be taught, to learn (from a teacher), to study (under a teacher), to get training in","Adept"
"読む","to read","Adept"
"楽しむ","to enjoy (oneself)","Adept"
"疲れる","to get tired, to tire","Adept"
"昼","noon, midday","Adept"
"点ける","to turn on, to switch on, to light up","Adept"
"秋","autumn, fall","Adept"
"降りる","to descend (e.g. a mountain), to go down, to come down","Adept"
"待つ","to wait","Adept"
"先週","last week, the week before","Adept"
"電話","telephone call, phone call","Adept"
"言う","to say, to utter, to declare","Adept"
"降る","to fall (e.g. rain), to precipitate","Adept"
"時々","sometimes, at times","Adept"
"前","ago, before (some event), previously, in front (of)","Adept"
"娘","daughter","Adept"
"だけ","only, just, merely, simply, no more than, nothing but, alone","Adept"
"どこ","where, what place","Adept"
"国","country, state","Adept"
"怒る","to get angry, to get mad","Adept"
"太る","to grow fat (stout, plump), to become fat, to gain weight","Adept"
"雪","snow","Adept"
"終わる","to finish, to end, to close","Adept"
"晩ご飯","dinner, evening meal","Adept"
"歯","tooth","Adept"
"暗い","dark, gloomy","Seasoned"
"休む","to be absent, to take a day off","Seasoned"
"曲がる","to bend, to curve, to warp, to wind, to twist","Seasoned"
"着る","to wear (in modern Japanese, from the shoulders down), to put on","Seasoned"
"窓","window","Seasoned"
"開く","to open (e.g. doors), to be open (for business)","Seasoned"
"会社","company, corporation","Seasoned"
"掃除","cleaning, sweeping, dusting, scrubbing","Seasoned"
"乗る","to get on (train, plane, bus, ship, etc.), to get in, to board, to take, to embark","Seasoned"
"ベッド","bed","Seasoned"
"太い","fat, thick","Seasoned"
"撮る","to take (a photo)","Seasoned"
"冬","winter","Seasoned"
"危ない","dangerous, risky, hazardous, perilous, precarious","Seasoned"
"日曜日","Sunday","Seasoned"
"洗う","to wash","Seasoned"
"切手","stamp (postage), merchandise certificate","Seasoned"
"午前","morning, a.m.","Seasoned"
"宿題","homework","Seasoned"
"南","south","Seasoned"
"おはよう","good morning","Seasoned"
"乾杯","cheers, bottoms-up, prosit","Seasoned"
"毎週","every week","Seasoned"
"鳥","bird","Seasoned"
"来週","next week","Seasoned"
"結婚","marriage","Seasoned"
"東","east","Seasoned"
"スキー","skiing","Seasoned"
"玄関","entranceway, entry hall, vestibule, foyer, entryway, mud room","Seasoned"
"椅子","chair, stool","Seasoned"
"時計","watch, clock, timepiece","Seasoned"
"駅","station","Seasoned"
"楽しい","enjoyable, fun","Seasoned"
"冷たい","cold (to the touch), chilly, icy, freezing","Seasoned"
"暇","spare time, free time, leisure, bored","Seasoned"
"授業","lesson, class work, teaching, instruction","Seasoned"
"土曜日","Saturday","Seasoned"
"浴びる","to splash over oneself (e.g. water), to take (e.g. shower), to bask in (e.g. the sun), to bathe in, to be flooded with (e.g. light), to be covered in","Seasoned"
"教える","to teach, to inform, to instruct","Seasoned"
"聞く","to hear","Seasoned"
"会う","to meet, to encounter, to see","Seasoned"
"外","outside, exterior","Seasoned"
"教室","classroom","Seasoned"
"置く","to put, to place","Seasoned"
"外国人","foreigner, foreign citizen, foreign national, alien, non-Japanese","Seasoned"
"遅い","slow","Seasoned"
"使う","to use (a thing, method, etc.), to make use of, to put to use","Seasoned"
"誰","who","Seasoned"
"プール","(swimming) pool","Seasoned"
"道","road, street, way, path, course, route, lane","Seasoned"
"電気","electricity, electric light, light bulb, electric","Seasoned"
"脱ぐ","to take off (clothes, shoes, etc.), to undress","Seasoned"
"休み","rest, recess, respite, being closed","Seasoned"
"分かる","to understand, to comprehend, to grasp, to see, to get, to follow","Seasoned"
"西","west","Seasoned"
"遊び","playing","Seasoned"
"スーパー","supermarket","Seasoned"
"牛肉","beef","Seasoned"
"牛","cattle (Bos taurus), cow, bull, ox, calf","Seasoned"
"大変","very, greatly, immense, enormous, great, serious, grave, dreadful, terrible, difficult, hard, major incident, disaster, tough, problem, hardship, terribly, awfully","Seasoned"
"必要","necessary, needed, essential, indispensable","Seasoned"
"牛乳","(cow's) milk","Seasoned"
"野球","baseball","Seasoned"
"熱い","hot (thing), passionate","Seasoned"
"起きる","to get up, to rise, to blaze up (fire)","Seasoned"
"閉める","to close, to shut","Seasoned"
"出かける","to go out (e.g. on an excursion or outing), to leave, to depart, to start, to set out","Seasoned"
"始める","to start, to begin, to commence, to initiate, to originate","Seasoned"
"泳ぐ","to swim","Seasoned"
"歩く","to walk","Seasoned"
"スポーツ","sport, sports","Seasoned"
"出る","to leave, to exit, to go out, to come out, to get out","Seasoned"
"ホラー","horror","Seasoned"
"早く","early, soon","Seasoned"
"忘れる","to forget, to leave carelessly, to be forgetful of, to forget about, to forget (an article)","Seasoned"
"肉","flesh","Seasoned"
"持つ","to hold (in one's hand), to take, to carry","Seasoned"
"知る","to be aware of, to know, to be conscious of, to cognize, to cognise","Seasoned"
"魚","fish","Seasoned"
"大学生","university student, college student","Seasoned"
"映画館","movie theatre, movie theater, cinema","Seasoned"
"コーヒー","coffee","Seasoned"
"台所","kitchen","Seasoned"
"店","store, shop, establishment, restaurant","Seasoned"
"食べ物","food","Seasoned"
"そこ","there (place relatively near listener)","Seasoned"
"明るい","bright, colourful","Seasoned"
"トイレ","toilet, restroom, bathroom, lavatory","Seasoned"
"強い","strong, powerful, mighty, potent","Seasoned"
"あそこ","there (place physically distant from both speaker and listener), over there, that place, yonder","Seasoned"
"文法","grammar","Seasoned"
"ご飯","cooked rice, food","Seasoned"
"図書館","library","Seasoned"
"日本語","Japanese (language)","Seasoned"
"学校","school","Seasoned"
"新聞","newspaper","Seasoned"
"机","desk","Seasoned"
"病院","hospital","Seasoned"
"返す","to return (something), to restore, to put back","Seasoned"
"青","blue","Seasoned"
"書く","to write, to compose, to pen","Seasoned"
"遊ぶ","to play, to enjoy oneself, to have a good time","Seasoned"
"旅行","travel, trip","Seasoned"
"夏休み","summer vacation, summer holiday","Seasoned"
"僕","I, me, kid","Seasoned"
"走る","to run","Seasoned"
"すみません","excuse me, pardon me, I'm sorry, I beg your pardon","Seasoned"
"お弁当","bento (Japanese box lunch)","Seasoned"
"半分","half","Seasoned"
"医者","(medical) doctor, physician","Seasoned"
"有る","to be, to exist, to live","Seasoned"
"時間","time","Seasoned"
"喫茶店","coffee shop, tearoom, coffee lounge, coffeehouse, cafe","Seasoned"
"砂糖","sugar","Seasoned"
"誕生日","birthday","Seasoned"
"留学生","overseas student, exchange student","Seasoned"
"写真","photograph, photo, picture, snapshot, snap","Seasoned"
"動物","animal","Seasoned"
"飲み物","drink, beverage","Seasoned"
"橋","bridge","Seasoned"
"番号","number, series of digits","Seasoned"
"弟","younger brother, little brother, kid brother","Seasoned"
"買う","to buy, to purchase","Seasoned"
"果物","fruit","Seasoned"
"あの","that, those, the","Seasoned"
"薬を飲む","to take medicine","Seasoned"
"町","town, block, neighbourhood, neighborhood","Seasoned"
"悪い","bad, poor, inferior","Seasoned"
"鼻","nose","Seasoned"
"動物園","zoo, zoological gardens","Seasoned"
"優しい","tender, kind, gentle, graceful, affectionate, amiable, nice","Seasoned"
"勉強","study","Seasoned"
"灰皿","ashtray","Seasoned"
"する","to do, to carry out, to perform, to cost","Seasoned"
"先輩","senior (at work or school), superior, elder, older graduate, progenitor, old-timer","Seasoned"
"ピザ","pizza","Seasoned"
"小さい","small, little, tiny","Seasoned"
"親切","kind, gentle, considerate, generous, friendly, nice","Seasoned"
"簡単","simple, easy, uncomplicated","Seasoned"
"夏","summer","Seasoned"
"色","colour, color","Seasoned"
"言葉","language, dialect, word","Seasoned"
"山","mountain, hill","Seasoned"
"パーティー","party","Seasoned"
"話をする","to have a talk, to tell a story","Seasoned"
"日本","Japan","Seasoned"
"子供","child, children","Seasoned"
"私たち","we, us","Seasoned"
